mileage,make,model,fuel,gear,offerType,price,hp,year,encoded_make,encoded_model,encoded_fuel,encoded_gear,encoded_offerType,encoded_year
100,Skoda,Fabia,Gasoline,Manual,Pre-registered,17900,95.0,2021,64,333,7,1,3,10
100,Skoda,Fabia,Gasoline,Manual,Pre-registered,17900,95.0,2021,64,333,7,1,3,10
5000,Skoda,Fabia,Gasoline,Manual,Employee's car,11887,60.0,2021,64,333,7,1,1,10
50,Skoda,Fabia,Gasoline,Manual,Pre-registered,13447,95.0,2021,64,333,7,1,3,10
50,Skoda,Fabia,Gasoline,Manual,Pre-registered,13447,95.0,2021,64,333,7,1,3,10
50,Skoda,Fabia,Gasoline,Manual,Pre-registered,13447,95.0,2021,64,333,7,1,3,10
1000,Dacia,Sandero,Gasoline,Manual,Demonstration,13590,101.0,2021,22,675,7,1,0,10
50,SEAT,Ibiza,Gasoline,Manual,Pre-registered,13669,80.0,2021,63,430,7,1,3,10
50,SEAT,Ibiza,Gasoline,Manual,Pre-registered,13669,80.0,2021,63,430,7,1,3,10
50,SEAT,Ibiza,Gasoline,Manual,Pre-registered,13669,80.0,2021,63,430,7,1,3,10
50,Skoda,Fabia,Gasoline,Manual,Pre-registered,13969,95.0,2021,64,333,7,1,3,10
50,Skoda,Fabia,Gasoline,Manual,Pre-registered,14177,95.0,2021,64,333,7,1,3,10
50,Skoda,Fabia,Gasoline,Manual,Pre-registered,14177,95.0,2021,64,333,7,1,3,10
25,Suzuki,Ignis,Gasoline,Manual,Demonstration,14250,83.0,2021,67,431,7,1,0,10
500,Dacia,Duster,Gasoline,Manual,Demonstration,15390,101.0,2021,22,296,7,1,0,10
50,Renault,Clio,Gasoline,Manual,Pre-registered,15680,91.0,2021,61,241,7,1,3,10
50,Renault,Clio,Gasoline,Manual,Pre-registered,15980,91.0,2021,61,241,7,1,3,10
50,Renault,Clio,Gasoline,Manual,Pre-registered,16270,101.0,2021,61,241,7,1,3,10
100,Hyundai,i30,Gasoline,Manual,Pre-registered,16447,110.0,2021,31,832,7,1,3,10
50,Hyundai,i30,Gasoline,Manual,Pre-registered,16450,110.0,2021,31,832,7,1,3,10
3000,Renault,Clio,Gasoline,Manual,Demonstration,16560,67.0,2021,61,241,7,1,0,10
50,Opel,Corsa,Gasoline,Automatic,Pre-registered,16879,101.0,2021,54,274,7,0,3,10
100,Renault,Twingo,Gasoline,Manual,Pre-registered,10280,65.0,2021,61,750,7,1,3,10
5,Mitsubishi,Space Star,Gasoline,Manual,Demonstration,10990,71.0,2021,51,688,7,1,0,10
100,Renault,Twingo,Gasoline,Manual,Pre-registered,11180,65.0,2021,61,750,7,1,3,10
1400,Hyundai,i10,Gasoline,Manual,Demonstration,11995,67.0,2021,31,829,7,1,0,10
100,Renault,Twingo,Gasoline,Manual,Pre-registered,12080,65.0,2021,61,750,7,1,3,10
10,Hyundai,i10,Gasoline,Manual,Pre-registered,12490,67.0,2021,31,829,7,1,3,10
2500,Dacia,Sandero,Gasoline,Manual,Demonstration,12980,101.0,2021,22,675,7,1,0,10
10,Hyundai,i10,Gasoline,Manual,Demonstration,13495,67.0,2021,31,829,7,1,0,10
7,Kia,Rio,Gasoline,Manual,Pre-registered,13990,84.0,2021,37,618,7,1,3,10
20,Renault,Clio,Gasoline,Manual,Pre-registered,13999,67.0,2021,61,241,7,1,3,10
312,Peugeot,108,Gasoline,Manual,Used,14495,72.0,2021,56,1,7,1,4,10
100,Renault,Clio,Gasoline,Manual,Pre-registered,14780,90.0,2021,61,241,7,1,3,10
3525,Dacia,Sandero,Gasoline,Manual,Demonstration,14780,91.0,2021,22,675,7,1,0,10
100,Renault,Clio,Gasoline,Manual,Pre-registered,14880,90.0,2021,61,241,7,1,3,10
2586,Dacia,Sandero,Gasoline,Manual,Demonstration,15480,91.0,2021,22,675,7,1,0,10
20,Peugeot,208,Gasoline,Manual,Used,15770,75.0,2021,56,16,7,1,4,10
50,Skoda,Fabia,Gasoline,Automatic,Pre-registered,15980,95.0,2021,64,333,7,0,3,10
20,Ford,Transit Courier,Gasoline,Manual,Used,16650,101.0,2021,29,743,7,1,4,10
2500,Skoda,Fabia,Gasoline,Manual,Used,16980,95.0,2021,64,333,7,1,4,10
300,Hyundai,i10,Gasoline,Manual,Demonstration,17395,101.0,2021,31,829,7,1,0,10
1900,Mitsubishi,Space Star,Gasoline,Manual,Demonstration,9790,71.0,2021,51,688,7,1,0,10
2700,Renault,Twingo,Gasoline,Manual,Demonstration,11480,92.0,2021,61,750,7,1,0,10
3000,Renault,Twingo,Gasoline,Manual,Demonstration,11780,92.0,2021,61,750,7,1,0,10
1001,Renault,Twingo,Gasoline,Manual,Demonstration,12680,92.0,2021,61,750,7,1,0,10
1001,Dacia,Sandero,Gasoline,Manual,Demonstration,12980,101.0,2021,22,675,7,1,0,10
99,Fiat,500,Electric/Gasoline,Manual,Pre-registered,12990,71.0,2021,28,54,5,1,3,10
900,Mitsubishi,Space Star,Gasoline,Automatic,Demonstration,13190,71.0,2021,51,688,7,0,0,10
1001,Renault,Twingo,Gasoline,Manual,Demonstration,13380,65.0,2021,61,750,7,1,0,10
1001,Renault,Twingo,Gasoline,Manual,Demonstration,13380,65.0,2021,61,750,7,1,0,10
1001,Renault,Twingo,Gasoline,Manual,Demonstration,13380,65.0,2021,61,750,7,1,0,10
7,Fiat,Panda,Electric/Gasoline,Manual,Demonstration,13390,69.0,2021,28,555,5,1,0,10
1001,Dacia,Sandero,Gasoline,Manual,Demonstration,14280,91.0,2021,22,675,7,1,0,10
35,Kia,Picanto,Gasoline,Automatic,Pre-registered,14340,67.0,2021,37,563,7,0,3,10
99,Fiat,500,Electric/Gasoline,Manual,Pre-registered,14490,71.0,2021,28,54,5,1,3,10
99,Fiat,500,Electric/Gasoline,Manual,Pre-registered,14490,71.0,2021,28,54,5,1,3,10
5000,Mazda,2,Electric/Gasoline,Manual,Demonstration,14493,90.0,2021,47,12,5,1,0,10
3000,Renault,Clio,Gasoline,Manual,Demonstration,15180,67.0,2021,61,241,7,1,0,10
99,Fiat,500C,Gasoline,Manual,Pre-registered,15490,71.0,2021,28,56,7,1,3,10
99,Fiat,500C,Gasoline,Manual,Pre-registered,15490,71.0,2021,28,56,7,1,3,10
1001,Renault,Clio,Gasoline,Manual,Demonstration,15980,91.0,2021,61,241,7,1,0,10
5,Fiat,500,Gasoline,Manual,Pre-registered,13970,69.0,2021,28,54,7,1,3,10
10,Kia,Picanto,Gasoline,Manual,Pre-registered,13980,84.0,2021,37,563,7,1,3,10
10,Kia,Rio,Gasoline,Manual,Pre-registered,13980,84.0,2021,37,618,7,1,3,10
10,Hyundai,i10,Gasoline,Manual,Demonstration,13980,84.0,2021,31,829,7,1,0,10
6075,Suzuki,Swift,Electric/Gasoline,Manual,Employee's car,13989,83.0,2021,67,699,5,1,1,10
6130,Suzuki,Swift,Electric/Gasoline,Manual,Employee's car,13989,83.0,2021,67,699,5,1,1,10
0,Fiat,500,Gasoline,Manual,Pre-registered,13990,71.0,2021,28,54,7,1,3,10
3,Fiat,500,Electric/Gasoline,Manual,Pre-registered,13990,69.0,2021,28,54,5,1,3,10
