mileage,make,model,fuel,gear,offerType,price,hp,year,encoded_make,encoded_model,encoded_fuel,encoded_gear,encoded_offerType,encoded_year
5,Kia,Ceed SW / cee'd SW,Gasoline,Automatic,Pre-registered,22490,160.0,2021,37,231,7,0,3,10
10,Hyundai,i20,Electric/Gasoline,Automatic,Pre-registered,22490,120.0,2021,31,830,5,0,3,10
300,Hyundai,i30,Gasoline,Manual,Demonstration,22495,120.0,2021,31,832,7,1,0,10
5000,Volkswagen,Polo,Gasoline,Automatic,Demonstration,22500,116.0,2021,72,566,7,0,0,10
1000,Renault,Kadjar,Gasoline,Automatic,Demonstration,22690,140.0,2021,61,449,7,0,0,10
10,Opel,Corsa,Electric,Automatic,Used,22850,136.0,2021,54,274,3,0,4,10
5,Abarth,595C,Gasoline,Manual,Pre-registered,23790,165.0,2021,1,74,7,1,3,10
35,Kia,Ceed / cee'd,Gasoline,Manual,Pre-registered,23840,160.0,2021,37,230,7,1,3,10
3500,Renault,Kadjar,Gasoline,Manual,Demonstration,24680,140.0,2021,61,449,7,1,0,10
1100,Volkswagen,T-Cross,Gasoline,Automatic,Pre-registered,25450,110.0,2021,72,700,7,0,3,10
